id,category,line1,line2,correct_action
41,"fraud","もしもし検察庁ですが。","早くしないと口座が凍結しますので、今すぐ指定口座に振り込んでください。","cut"
42,"fraud","警察の者ですが。","すぐにキャッシュカードをポストに入れてください。回収します。","cut"
43,"fraud","役所の者ですが。","銀行員の前ではこの話をしないでください。邪魔されます。","cut"
44,"fraud","病院ですが。","あなた名義で新しい口座を作りますので印鑑と通帳を預けてください。","cut"
45,"fraud","○○銀行ですが。","記録に残らないよう現金で支払ってください。","cut"
46,"fraud","もしもし検察庁ですが。","警察には内緒で手続きしてください。こちらが本当の味方です。","cut"
47,"fraud","警察の者ですが。","定期預金を解約して全額移してください。","cut"
48,"fraud","役所の者ですが。","クレジットカードの利用限度額を教えてください。","cut"
49,"fraud","病院ですが。","すべてのカード情報をこちらで保管しますので教えてください。","cut"
50,"fraud","○○銀行ですが。","このままだと逮捕されますが今振り込めば止められます。","cut"
51,"normal","もしもし検察庁ですが。","先日の被害届について確認があります。","accept"
52,"normal","警察の者ですが。","落とし物が届いております。確認のためご連絡です。","accept"
53,"normal","役所の者ですが。","書類の内容に不備があり確認させていただきます。","accept"
54,"normal","病院ですが。","来週の診察の予約確認です。","accept"
55,"normal","○○銀行ですが。","通帳更新のお知らせです。","accept"
56,"normal","もしもし検察庁ですが。","事情聴取の日程調整についてご連絡しました。","accept"
57,"normal","警察の者ですが。","地域安全パトロールの案内です。","accept"
58,"normal","役所の者ですが。","介護保険の通知を送付しました。ご確認ください。","accept"
59,"normal","病院ですが。","お薬が準備できましたのでご連絡です。","accept"
60,"normal","○○銀行ですが。","口座名義変更の手続き書類が届いております。","accept"
61,"normal","もしもし検察庁ですが。","問い合わせいただいた件の返答です。","accept"
62,"normal","警察の者ですが。","迷子の方があなたの連絡先を申し出ています。","accept"
63,"normal","役所の者ですが。","固定資産税の納付書を発送いたしました。","accept"
64,"normal","病院ですが。","検査結果が出ましたのでお知らせです。","accept"
65,"normal","○○銀行ですが。","新しいキャッシュカードが到着しました。","accept"
66,"normal","もしもし検察庁ですが。","担当者が折り返し連絡いたします。","accept"
67,"normal","警察の者ですが。","交通安全講習の案内をお送りします。","accept"
68,"normal","役所の者ですが。","地域行事のお知らせです。","accept"
69,"normal","病院ですが。","先日の診察後の経過について伺いたく。","accept"
70,"normal","○○銀行ですが。","ATM利用時間の変更についてご案内です。","accept"
71,"normal","もしもし検察庁ですが。","呼び出し状の受取確認です。","accept"
72,"normal","警察の者ですが。","目撃情報について追加で伺いたいことがあります。","accept"
73,"normal","役所の者ですが。","住民票の写しの準備ができています。","accept"
74,"normal","病院ですが。","お会計に関する領収書の再発行が完了しました。","accept"
75,"normal","○○銀行ですが。","定期預金の満期のお知らせです。","accept"
76,"normal","もしもし検察庁ですが。","近日中に書類を発送しますのでご確認ください。","accept"
77,"normal","警察の者ですが。","先日のお問い合わせの追加説明です。","accept"
78,"normal","役所の者ですが。","行政サービス説明会のお知らせです。","accept"
79,"normal","病院ですが。","インフルエンザ予防接種の予約枠についてです。","accept"
80,"normal","○○銀行ですが。","口座閉鎖のご相談について折り返しました。","accept"
81,"fraud","もしもし検察庁ですが。","あなたの口座から不正送金が検出されました。すぐに全額引き出してください。","cut"
82,"fraud","警察の者ですが。","犯人グループに狙われています。安全な口座へ全額移してください。","cut"
83,"fraud","役所の者ですが。","あなたの受取人手当が発生しました。手数料をお払いください。","cut"
84,"fraud","病院ですが。","急な手術が必要です。デポジットとして現金を用意してください。","cut"
85,"fraud","○○銀行ですが。","カード情報が漏洩しています。新しいカードの配送手数料をお支払いください。","cut"
86,"fraud","もしもし検察庁ですが。","あなたの名義で詐欺被害が報告されました。示談金が必要です。","cut"
87,"fraud","警察の者ですが。","逮捕状が出ています。保釈金を今すぐお支払いください。","cut"
88,"fraud","役所の者ですが。","あなたの口座が凍結されます。解除料金をお振込ください。","cut"
89,"fraud","病院ですが。","医療ローンの審査手数料をお支払いください。","cut"
90,"fraud","○○銀行ですが。","セキュリティ強化費用としてご協力ください。","cut"
91,"normal","もしもし検察庁ですが。","供述調書の確認です。ご都合つきますか。","accept"
92,"normal","警察の者ですが。","本人確認のため、お名前と住所を教えていただけますか。","accept"
93,"normal","役所の者ですが。","給付金申請の書類が足りません。来庁をお願いします。","accept"
94,"normal","病院ですが。","持参していただく書類について確認があります。","accept"
95,"normal","○○銀行ですが。","相続手続きについてご相談があります。","accept"
96,"normal","もしもし検察庁ですが。","取り調べの日時を変更したくお電話しました。","accept"
97,"normal","警察の者ですが。","証拠品の受け取りについてお知らせです。","accept"
98,"normal","役所の者ですが。","手当支給日についてのお知らせです。","accept"
99,"normal","病院ですが。","入院手続きについてご説明します。","accept"
100,"normal","○○銀行ですが。","住宅ローン説明会のご案内です。","accept"
